name,address,type,number,scheme,id,postal
Gratify Services Pte. Ltd,1012 ALJUNIED AVENUE 3 #01-43 ALJUNIED INDUSTRIAL ESTATE 389935,Central Kitchen,FPCK25120000047,Food Preparation Area,be1216f7-774a-47c3-a5da-d769ae7b785b,389935
GREAThai,430 Upper Changi Road #01-06 East Village 487048,Restaurant,EERX21030012229,Eating Establishment,ee210558-edef-4dd5-81e6-cf9abb5fe430,487048
Green Chili Rice Chicken,9 RAFFLES PLACE #B1-17 REPUBLIC PLAZA 048619,Snack Bar / Bakery,EESB20240000229,Eating Establishment,9ada71a1-8e1a-4215-bf03-bec45ab384be,048619
Green Delights,3 GATEWAY DRIVE #B2-K15/16 WESTGATE 608532,Restaurant,EERN21060012446,Eating Establishment,63adee12-b82c-4bda-b37d-5777fb47393c,608532
Greens & Grains Salad,"27 PRINCE GEORGE'S PARK PRINCE GEORGE's PARK RESIDENCES - NATIONAL UNIVERSITY OF SINGAPORE, STALL 2 118425",Hawker,EEHK20250000829,Eating Establishment,903bd4c6-169f-420e-8c78-66b4f442b863,118425
Greentea Rice (S18) @ Fernvale Hawker Centre,"21 SENGKANG WEST AVENUE #03-18 FERNVALE POINT,Stall 18 797650",Hawker,EEHK20240000467,Eating Establishment,68dbe8d4-c5d5-44f7-a58d-8e803ed46c32,797650
GREENTEA RICE (S71) @ HAWKER OTH,1 TAMPINES WALK #01-71 HAWKER CENTRE @ OUR TAMPINES HUB 528523,Hawker,EEHK20250000414,Eating Establishment,5d15f33b-1cd5-48bf-975e-d5b13aff2a94,528523
Grill Ninety Nine,142/142A ARAB STREET 199828,Restaurant,EERN21120013306,Eating Establishment,3a159769-3b7b-4d2a-b708-6bf3ad3ff23f,199828
Guan Kee Seafood (S53) @ Newton Food Centre.,500 CLEMENCEAU AVENUE NORTH #01-53 229495,Hawker,EEHK20230001334,Eating Establishment,01b7f3af-edd8-4000-be39-97f8fef4a5cc,229495
GYOGYO,68 ORCHARD ROAD #06-08/10 PLAZA SINGAPURA 238839,Restaurant,EERT20230000826,Eating Establishment,298228cd-cc67-483f-b68d-5eef148415a7,238839
GYOGYO,107 NORTH BRIDGE ROAD #B1-34 Funan Mall 179105,Restaurant,EERT20230000103,Eating Establishment,298228cd-cc67-483f-b68d-5eef148415a7,179105
GYOZA-SAN,5 STRAITS VIEW #B2-29 THE HEART 018935,Restaurant,EERT20230000817,Eating Establishment,d7dd2956-ed67-4c2a-8a86-2322548a0ac2,018935
GYOZA-SAN,30 RAFFLES PLACE #B1-29 CIMB PLAZA 048622,Snack Bar / Bakery,EESB20230000855,Eating Establishment,d7dd2956-ed67-4c2a-8a86-2322548a0ac2,048622
Gyoza-San (MR2) @ Fine Food South Spine NTU,"50 NANYANG AVENUE NANYANG TECHNOLOGICAL UNIVERSITY (CANTEEN B), MR 2 639798",Hawker,EEHK20250000426,Eating Establishment,7ac0e09d-cf85-4d2b-9be9-3e390c7c8e77,639798
Gyoza-San Gyoza & Bento,"1 CREATE WAY #01-04 UNIVERSITY TOWN (CREATE), STALL 1 @ Fine Food NUS 138602",Hawker,EEHK20250000774,Eating Establishment,d629c08d-9990-4f1d-9a5a-01ff690e2a09,138602
H & N CATERING SERVICES PTE. LTD.,8A ADMIRALTY STREET #04-02 FOOD XCHANGE @ ADMIRALTY 757437,Catering Company,FPCA20230000532,Food Preparation Area,1e0b15af-cba0-4315-9582-83ee400c5631,757437
